seriesRank,seriesTitle,seriesLink,overallRating,numberOfRatings,timeRange,episodes,seasons,storyline,genres,language,countries
96,Oz,https://www.imdb.com/title/tt0118421/?ref_=chttvtp_t_96,8.7,116000,1997-2003,56,6,"Follows the daily activities of the Inmates at the Oswald Maximum Security Correctional Facility (aka ""Oz"" for short), an unusual prison where its criminal inhabitants face challenges head on behind bars and do all they can to stay alive.","Drama, Crime, Thriller",English,United States
69,Panchayat,https://www.imdb.com/title/tt12004706/?ref_=chttvtp_t_69,9,115000,2020-,32,4,"A comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a Panchayat office in a remote village of Uttar Pradesh.","Drama, Comedy",Hindi,India
70,Fawlty Towers,https://www.imdb.com/title/tt0072500/?ref_=chttvtp_t_70,8.8,111000,1975-1979,12,2,"Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.",Comedy,English,United Kingdom
201,The Family Man,https://www.imdb.com/title/tt9544034/?ref_=chttvtp_t_201,8.7,111000,2019-,26,3,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job.","Action, Comedy, Crime",Hindi,India
212,Making a Murderer,https://www.imdb.com/title/tt5189670/?ref_=chttvtp_t_212,8.5,108000,2015-2018,20,2,"Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.","Crime, Documentary",English,United States
20,The Twilight Zone,https://www.imdb.com/title/tt0052520/?ref_=chttvtp_t_20,9,107000,1959-1964,156,5,"Classic American Anthology series created by Rod Serling, featuring standalone stories of science fiction, fantasy, and horror, each with a twist ending or moral lesson.","Horror, Fantasy, Sci-Fi",English,United States
229,Neon Genesis Evangelion,https://www.imdb.com/title/tt0112159/?ref_=chttvtp_t_229,8.5,107000,1995-1996,26,4,"In a post-cataclysmic future, reluctant teen Shinji Ikari is called by his estranged father to pilot an Evangelion for NERV, humanity's last defense against invading Angels threatening Tokyo-3.","Action, Animation, Drama",Japanese,Japan
41,The Pitt,https://www.imdb.com/title/tt31938062/?ref_=chttvtp_t_41,8.9,106000,2025-,31,3,"The daily lives of healthcare professionals in a Pittsburgh hospital as they juggle personal crises, workplace politics, and the emotional toll of treating critically ill patients, revealing the resilience required in their noble calling.",Drama,English,United States
59,Last Week Tonight with John Oliver,https://www.imdb.com/title/tt3530232/?ref_=chttvtp_t_59,8.8,105000,2014-,405,12,Former Daily Show host and correspondent John Oliver brings his persona to this weekly news satire program.,Comedy,English,United States
75,Leyla ile Mecnun,https://www.imdb.com/title/tt1831164/?ref_=chttvtp_t_75,9,103000,2011-2023,144,7,"It is an unique and heartwarming show follows the extraordinary journey of a couple named Leyla and Mecnun. With Ali Atay portraying Mecnun and Ezgi Asaroglu as Leyla, the series has garnered a massive fan base and critical acclaim.","Adventure, Comedy, Drama",Turkish,Turkey
221,Solo Leveling,https://www.imdb.com/title/tt21209876/?ref_=chttvtp_t_221,8.5,103000,2024-,26,2,Follows the adventures of Sung Jinwoo in a world that is constantly threatened by monsters and evil forces. In his battles Sung transforms himself from the weakest hunter of all mankind to one of the strongest hunters in existence.,"Action, Animation, Fantasy",Japanese,Japan
76,Dragon Ball Z,https://www.imdb.com/title/tt0121220/?ref_=chttvtp_t_76,8.8,102000,1989-1996,291,8,"The adventures of Earth's martial arts defender, Son Goku, continue with a new family and the revelation of his alien origins. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies.","Action, Animation, Drama",Japanese,Japan
79,Pride and Prejudice,https://www.imdb.com/title/tt0112130/?ref_=chttvtp_t_79,8.8,102000,1995,6,1,"While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy.","Drama, Romance",English,United Kingdom
110,Blue Eye Samurai,https://www.imdb.com/title/tt13309742/?ref_=chttvtp_t_110,8.7,101000,2023-,9,2,"Driven by a dream of revenge against those who made her an outcast in Edo-period Japan, a young warrior cuts a bloody path toward her destiny.","Animation, Drama, Action",English,United States
125,Code Geass: Lelouch of the Rebellion,https://www.imdb.com/title/tt0994314/?ref_=chttvtp_t_125,8.7,100000,2006-2008,54,2,"After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all-powerful empire.","Animation, Drama, Fantasy",Japanese,Japan
56,The West Wing,https://www.imdb.com/title/tt0200276/?ref_=chttvtp_t_56,8.9,98000,1999-2006,155,7,Follows US president Josiah Bartlet and his administration as they tackle various political issues in order to maintain peace and harmony in the nation.,Drama,English,United States
141,Atlanta,https://www.imdb.com/title/tt4288182/?ref_=chttvtp_t_141,8.6,97000,2016-2022,41,4,"Earn and his cousin Alfred try to make their way in the world through Atlanta's rap scene. Along the way they come face-to-face with social and economic issues touching on race, relationships, poverty, status, and parenthood.","Comedy, Drama",English,United States
100,The Shield,https://www.imdb.com/title/tt0286486/?ref_=chttvtp_t_100,8.7,96000,2002-2008,89,7,"A gang of corrupt Los Angeles Police Department cops uses illegal methods to maintain law and order, whilst engaging in a series of undercover dealings secretly in order to get rich.","Drama, Crime, Thriller",English,United States
99,The Grand Tour,https://www.imdb.com/title/tt5712554/?ref_=chttvtp_t_99,8.7,94000,2016-2024,46,6,"Jeremy, Richard and James embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world.","Sport, Adventure, Comedy",English,United Kingdom
85,Kota Factory,https://www.imdb.com/title/tt9432978/?ref_=chttvtp_t_85,9,91000,2019-2021,15,3,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.","Comedy, Drama",Hindi,India
178,Dopesick,https://www.imdb.com/title/tt9174558/?ref_=chttvtp_t_178,8.6,91000,2021,8,1,"The series takes viewers to the epicenter of America's struggle with opioid addiction, from the boardrooms of Purdue Pharma, to a distressed Virginia mining community, to the hallways of the DEA.","Documentary, Drama",English,United States
89,Steins;Gate,https://www.imdb.com/title/tt1910272/?ref_=chttvtp_t_89,8.8,90000,2011-2015,26,3,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.","Animation, Drama, Comedy",Japanese,Japan
215,Twin Peaks,https://www.imdb.com/title/tt4093826/?ref_=chttvtp_t_215,8.5,88000,2017,18,1,Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.,"Drama, Horror, Mystery",English,United States
67,Monty Python's Flying Circus,https://www.imdb.com/title/tt0063929/?ref_=chttvtp_t_67,8.8,87000,1969-1974,45,4,The original surreal sketch comedy showcase for the Monty Python troupe.,Comedy,English,United Kingdom
86,Over the Garden Wall,https://www.imdb.com/title/tt3718778/?ref_=chttvtp_t_86,8.7,87000,2014,10,1,Two brothers find themselves lost in a mysterious land and try to find their way home.,"Fantasy, Horror, Animation",English,United States
225,Louie,https://www.imdb.com/title/tt1492966/?ref_=chttvtp_t_225,8.5,85000,2010-2015,61,5,"The life of Louie C.K., a divorced comedian living in New York with two kids.","Comedy, Drama",English,United States
246,Fullmetal Alchemist,https://www.imdb.com/title/tt0421357/?ref_=chttvtp_t_246,8.5,85000,2003-2004,51,4,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's stone.","Animation, Fantasy, Drama",Japanese,Japan
149,The Bridge,https://www.imdb.com/title/tt1733785/?ref_=chttvtp_t_149,8.6,84000,2011-2018,38,4,"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer.","Thriller, Drama, Crime",Swedish,Sweden
186,Battlestar Galactica,https://www.imdb.com/title/tt0314979/?ref_=chttvtp_t_186,8.5,84000,2003,2,1,"Following the destruction of the Twelve Colonies of Kobol by the Cylons, a rag-tag fugitive fleet of the last remnants of mankind flees the pursuing Cylons while simultaneously searching for their true home: Earth.","Sci-Fi, Action, Adventure",English,United States
29,Clarkson's Farm,https://www.imdb.com/title/tt10541088/?ref_=chttvtp_t_29,9,83000,2021-,33,5,Follow Jeremy Clarkson as he attempts to run a farm in the countryside.,"Documentary, Comedy",English,United Kingdom
118,Line of Duty,https://www.imdb.com/title/tt2303687/?ref_=chttvtp_t_118,8.7,80000,2012-,42,7,British crime drama series following a team of elite detectives tasked with investigating police corruption.,"Drama, Crime, Mystery",English,United Kingdom
60,TVF Pitchers,https://www.imdb.com/title/tt4742876/?ref_=chttvtp_t_60,9.1,79000,2015-2022,10,2,A story of trials and tribulations of four young entrepreneurs who quit their day jobs in order to pursue their start up venture.,"Comedy, Drama",Hindi,India
92,Heated Rivalry,https://www.imdb.com/title/tt35495073/?ref_=chttvtp_t_92,9,79000,2025-,7,2,"Two rival hockey stars at the top of their game face an unexpected challenge when they develop feelings for each other, complicating their careers and the sport's expectations.","Romance, Drama, Sport",English,Canada
171,Anne,https://www.imdb.com/title/tt5421602/?ref_=chttvtp_t_171,8.6,79000,2017-2019,27,3,The adventures of a young orphan girl living in late-19th-century Canada. Follow Anne as she learns to navigate her new life on Prince Edward Island in this new take on L.M. Montgomery's classic novels.,"Drama, Family",English,Canada
78,Chappelle's Show,https://www.imdb.com/title/tt0353049/?ref_=chttvtp_t_78,8.8,78000,2003-2006,33,3,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.,Comedy,English,United States
121,Friday Night Lights,https://www.imdb.com/title/tt0758745/?ref_=chttvtp_t_121,8.7,78000,2006-2011,76,5,"A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor.","Drama, Sport",English,United States
88,Berserk,https://www.imdb.com/title/tt0318871/?ref_=chttvtp_t_88,8.7,75000,1997-1998,25,2,"Guts, a wandering mercenary, joins the Band of the Hawk after being defeated in a duel by Griffith, the group's leader and founder. Together, they dominate every battle, but something menacing lurks in the shadows.","Action, Animation, Adventure",Japanese,Japan
187,Dragon Ball,https://www.imdb.com/title/tt0088509/?ref_=chttvtp_t_187,8.5,75000,1986-1989,153,4,"A young martial artist named Goku teams up with inventor Bulma and other quirky allies on a globe-trotting quest to find the seven Dragon Balls, mystical orbs that can summon a wish-granting dragon.","Animation, Action, Adventure",Japanese,Japan
193,Dragon Ball,https://www.imdb.com/title/tt0280249/?ref_=chttvtp_t_193,8.5,75000,1995-2003,154,9,"Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once all 7 are gathered, grant any wish of choice.","Animation, Action, Adventure",English,Japan
213,Derry Girls,https://www.imdb.com/title/tt7120662/?ref_=chttvtp_t_213,8.5,74000,2018-2022,19,3,The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s in Northern Ireland.,Comedy,English,United Kingdom
62,Bleach: Thousand-Year Blood War,https://www.imdb.com/title/tt14986406/?ref_=chttvtp_t_62,9,73000,2022-,42,4,"The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approaching Ichigo and his friends in Karakura Town.","Action, Animation, Adventure",Japanese,Japan
106,Peep Show,https://www.imdb.com/title/tt0387764/?ref_=chttvtp_t_106,8.7,73000,2003-2015,54,9,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.,Comedy,English,United Kingdom
200,Regular Show,https://www.imdb.com/title/tt1710308/?ref_=chttvtp_t_200,8.6,72000,2010-2017,244,8,The surreal misadventures of two best friends--a blue jay and a raccoon--as they seek to liven up their mundane jobs as groundskeepers at the local park.,"Comedy, Animation, Action",English,United States
209,Happy Valley,https://www.imdb.com/title/tt3428912/?ref_=chttvtp_t_209,8.5,72000,2014-2023,18,3,Yorkshire-based crime drama centering on the personal and professional life of Police Sergeant Catherine Cawood.,"Drama, Crime, Thriller",English,United Kingdom
197,Flight of the Conchords,https://www.imdb.com/title/tt0863046/?ref_=chttvtp_t_197,8.5,69000,2007-2009,22,2,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom.","Comedy, Musical",English,United States
