title,overall_rating,genres,language,seasons,episodes
As If,9,"Buddy Comedy, Comedy",Turkish,5,56
Cowboy Bebop,8.9,"Adult Animation, Anime, Cyberpunk, Space Sci-Fi, Action, Adventure, Animation, Comedy, Drama, Sci-Fi",Japanese,1,26
The Beatles: Get Back,8.9,"Docuseries, Music Documentary, Biography, Documentary, Music",English,1,3
Dekalog,8.9,"Psychological Drama, Drama",Polish,1,10
Seinfeld,8.8,"Sitcom, Comedy",English,9,172
Gravity Falls,8.9,"Dark Fantasy, High-Concept Comedy, Quirky Comedy, Satire, Supernatural Fantasy, Adventure, Animation, Comedy, Family, Fantasy",English,2,41
Death Note,8.9,"Adult Animation, Anime, Cop Drama, Hard-boiled Detective, Legal Drama, Police Procedural, Psychological Drama, Psychological Thriller, Serial Killer, Shōnen",Japanese,1,37
The Civil War,9,"Docuseries, History Documentary, Military Documentary, Documentary, History, War",English,1,9
Only Fools and Horses,9,"Sitcom, Comedy",English,9,64
Firefly,8.9,"Space Sci-Fi, Adventure, Drama, Sci-Fi",English,1,14
Hunter x Hunter,9,"Adult Animation, Anime, Quest, Shōnen, Supernatural Fantasy, Action, Adventure, Animation, Comedy, Fantasy",Japanese,1,51
Frozen Planet,9,"Nature Documentary, Documentary",English,1,10
Human Planet,9,"Nature Documentary, Travel Documentary, Documentary",English,1,8
Scam 1992: The Harshad Mehta Story,9.2,"Docudrama, True Crime, Biography, Crime, Drama, Thriller, Financial Drama",Hindi,1,10
Clarkson's Farm,9,"Comedy, Documentary, Reality TV",English,4,25
The Blue Planet,9,"Nature Documentary, Documentary",English,1,8
Better Call Saul,9,"Drug Crime, Epic, Legal Drama, Psychological Drama, Tragedy, Crime, Drama",English,6,63
Arcane,9,"Action Epic, Adult Animation, Computer Animation, Steampunk, Supernatural Fantasy, Action, Adventure, Animation, Drama, Fantasy",English,2,18
Batman: The Animated Series,9,"Hand-Drawn Animation, Superhero, Urban Adventure, Action, Adventure, Animation, Crime, Family, Mystery, Sci-Fi",English,4,76
Sherlock,9.1,"Police Procedural, Whodunnit, Crime, Drama, Mystery, Thriller",English,4,15
Attack on Titan,9.1,"Action Epic, Adult Animation, Anime, Shōnen, Survival, Tragedy, Action, Adventure, Animation, Drama",Japanese,4,98
The Vietnam War,9.1,"Docuseries, History Documentary, Military Documentary, Documentary, History, War",English,1,10
The Twilight Zone,9,"Dark Fantasy, Dystopian Sci-Fi, Space Sci-Fi, Supernatural Fantasy, Supernatural Horror, Time Travel, Drama, Fantasy, Horror, Mystery",English,5,156
The Last Dance,9,"Basketball, Docuseries, Sports Documentary, Biography, Documentary, History, Sport",English,1,10
Rick and Morty,9.1,"Adult Animation, Farce, Parody, Satire, Sitcom, Time Travel, Adventure, Animation, Comedy, Sci-Fi",English,8,78
Life,9.1,"Docuseries, Nature Documentary, Documentary",English,1,11
Fullmetal Alchemist: Brotherhood,9.1,"Anime, Shōnen, Steampunk, Action, Adventure, Animation, Comedy, Drama, Fantasy, Sci-Fi",Japanese,1,55
The World at War,9.2,"Docuseries, History Documentary, Military Documentary, Documentary, History, War",English,1,26
Bluey,9.3,"Animal Adventure, Animation, Family",English,4,193
Game of Thrones,9.2,"Action Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Tragedy, Action, Adventure, Drama, Fantasy",English,8,74
Our Planet,9.2,"Docuseries, Nature Documentary, Documentary",English,2,12
The Sopranos,9.2,"Epic, Gangster, Crime, Drama",English,6,86
Blue Planet II,9.3,"Nature Documentary, Documentary",English,1,7
Avatar: The Last Airbender,9.3,"Globetrotting Adventure, Hand-Drawn Animation, Martial Arts, Quest, Supernatural Fantasy, Teen Fantasy, Action, Adventure, Animation, Family",English,2,62
The Wire,9.3,"Cop Drama, Drug Crime, Epic, Police Procedural, Crime, Drama, Thriller",English,5,60
Chernobyl,9.3,"Disaster, Docudrama, Epic, Historical Epic, Period Drama, Drama, History, Thriller",English,1,5
Band of Brothers,9.4,"Historical Epic, Tragedy, War Epic, Action, Drama, History, War",English,1,10
Planet Earth,9.4,"Docuseries, Nature Documentary, Documentary, Family",English,1,11
Planet Earth II,9.4,"Docuseries, Nature Documentary, Documentary",English,1,6
Breaking Bad,9.5,"Drug Crime, Epic, Psychological Drama, Psychological Thriller, Tragedy, Crime, Drama, Thriller",English,5,62
