title,overall_rating,genres,language,seasons,episodes
Archer,8.6,"Adult Animation, Parody, Sitcom, Action, Animation, Comedy",English,14,144
Critical Role,9.1,"Quest, Adventure, Fantasy",English,3,153
Mystery Science Theatre 3000,8.6,"Farce, Quirky Comedy, Space Sci-Fi, Comedy, Sci-Fi",English,11,199
Anne,8.6,"Period Drama, Teen Drama, Drama, Family",English,3,27
Greatest Events of WWII in Colour,8.6,"History Documentary, Military Documentary, Documentary, History, War",English,1,10
Blackadder the Third,8.6,"Satire, Comedy",English,1,6
Pose,8.6,"Epic, Drama",English,3,26
Yes Minister,8.6,"Satire, Sitcom, Comedy",English,3,22
Gomorrah,8.6,"Epic, Gangster, Crime, Drama, Thriller",Spanish,5,58
Scavengers Reign,8.6,"Adult Animation, Sci-Fi Epic, Space Sci-Fi, Adventure, Animation, Drama, Sci-Fi",English,1,12
Fighting Spirit,8.8,"Anime, Boxing, Sh≈çnen, Action, Animation, Comedy, Sport",English,1,51
The Offer,8.6,"Docudrama, Showbiz Drama, Biography, Crime, Drama",English,1,10
Crash Landing on You,8.7,"Feel-Good Romance, Korean Drama, Adventure, Comedy, Drama, Romance",Korean,1,19
The Return of Sherlock Holmes,8.7,"Police Procedural, Whodunnit, Crime, Drama, Mystery",English,2,13
The Jinx: The Life and Deaths of Robert Durst,8.6,"Crime Documentary, Docuseries, True Crime, Biography, Crime, Documentary, Mystery",English,2,12
Haikyuu!!,8.7,"Anime, Sh≈çnen, Teen Comedy, Teen Drama, Animation, Comedy, Drama, Sport",Japanese,4,89
Mr. Bean,8.6,"Sitcom, Slapstick, Comedy, Family",English,1,15
Poirot,8.6,"Cozy Mystery, Police Procedural, Whodunnit, Crime, Drama, Mystery, Thriller",English,13,70
Mindhunter,8.6,"Cop Drama, Docudrama, Police Procedural, Psychological Drama, Psychological Thriller, Serial Killer, Crime, Drama, Mystery, Thriller",English,2,19
Lonesome Dove,8.7,"Epic, Western Epic, Adventure, Drama, Western",English,1,4
Blackadder II,8.6,"Satire, Sitcom, Comedy",English,1,6
Shōgun,8.6,"Action Epic, Period Drama, War Epic, Adventure, Drama, History, War",Japanese,1,12
Primal,8.7,"Adult Animation, Dinosaur Adventure, Action, Adventure, Animation, Drama, Fantasy, Horror",English,2,21
Daredevil,8.6,"Gangster, Legal Drama, Superhero, Action, Crime, Drama, Fantasy, Sci-Fi, Thriller",English,3,39
The Bridge,8.6,"Cop Drama, Police Procedural, Serial Killer, Suspense Mystery, Crime, Mystery, Thriller",Danish,4,38
Mr Inbetween,8.7,"Comedy, Crime, Drama",English,3,26
It's a Sin,8.6,"Coming-of-Age, Drama",English,1,5
The Penguin,8.6,"Gangster, Tragedy, Crime, Drama",English,1,8
Ramayan,9,"Epic, Fantasy Epic, Period Drama, Adventure, Drama, Family, Fantasy, Musical, War",Sanskrit,1,51
