title,genres,language,seasons,episodes
The Marvelous Mrs. Maisel,"Period Drama, Showbiz Drama, Comedy, Drama",English,5,43
Line of Duty,"Cop Drama, Police Procedural, Suspense Mystery, Crime, Drama, Mystery, Thriller",English,6,36
Mahabharat,"Epic, Period Drama, War Epic, Action, Adventure, Drama, Fantasy, History, Musical, War",Hindi,1,51
Friday Night Lights,"Coming-of-Age, Football, Teen Drama, Drama, Sport",English,5,76
The Boys,"Dark Comedy, Raunchy Comedy, Satire, Superhero, Action, Comedy, Crime, Drama, Sci-Fi",English,5,40
Invincible,"Adult Animation, Superhero, Action, Adventure, Animation, Drama, Fantasy, Sci-Fi, Thriller",English,4,25
The Adventures of Sherlock Holmes,"Police Procedural, Whodunnit, Crime, Drama, Mystery",English,2,13
Justice League Unlimited,"Hand-Drawn Animation, Superhero, Action, Adventure, Animation, Family, Fantasy, Sci-Fi",English,3,39
Monster,"Adult Animation, Anime, Psychological Thriller, Seinen, Animation, Crime, Drama, Mystery, Thriller",Japanese,1,52
Naruto: Shippuden,"Anime, Martial Arts, Shōnen, Action, Adventure, Animation, Comedy, Drama, Fantasy",Japanese,21,52
One Punch Man,"Anime, Superhero, Action, Animation, Comedy, Family, Fantasy, Sci-Fi",Japanese,2,25
Arrested Development,"Quirky Comedy, Sitcom, Comedy",English,5,84
House M.D.,"Medical Drama, Drama, Mystery",English,8,176
Star Trek: The Next Generation,"Space Sci-Fi, Action, Adventure, Drama, Sci-Fi",English,7,176
Peep Show,"Buddy Comedy, Quirky Comedy, Sitcom, Comedy",English,9,54
The Simpsons,"Adult Animation, Farce, Hand-Drawn Animation, Satire, Sitcom, Animation, Comedy",English,36,781
Mad Men,"Epic, Period Drama, Workplace Drama, Drama",English,7,92
Blue Eye Samurai,"Adult Animation, Period Drama, Samurai, Action, Adventure, Animation, Drama, History, Thriller",English,1,9
The Grand Tour,"Motorsport, Comedy, Sport, Talk Show",English,6,46
The Shield,"Cop Drama, Police Procedural, Crime, Drama, Thriller",English,7,89
Downton Abbey,"Costume Drama, Period Drama, Drama, Romance",English,6,52
The Last of Us,"Dystopian Sci-Fi, Quest, Survival, Zombie Horror, Action, Adventure, Drama, Horror, Sci-Fi, Thriller",English,2,16
Fleabag,"Dark Comedy, Raunchy Comedy, Comedy, Drama",English,2,12
Severance,"Conspiracy Thriller, Dystopian Sci-Fi, Psychological Drama, Psychological Thriller, Workplace Drama, Drama, Mystery, Sci-Fi, Thriller",English,2,19
Dark,"Epic, Psychological Drama, Psychological Thriller, Suspense Mystery, Time Travel, Crime, Drama, Mystery, Sci-Fi, Thriller",German,3,26
Berserk,"Action Epic, Adult Animation, Adventure Epic, Anime, Dark Fantasy, Epic, Fantasy Epic, Hand-Drawn Animation, Seinen, Splatter Horror",Japanese,1,25
My Mister,"Korean Drama, Drama, Family",Korean,1,16
Oz,"Prison Drama, Crime, Drama, Thriller",English,6,56
Rome,"Period Drama, Sword & Sandal, Action, Drama, Romance, War",English,2,22
Steins;Gate,"Anime, Time Travel, Animation, Comedy, Drama, Mystery, Romance, Sci-Fi, Thriller",Japanese,1,26
Six Feet Under,"Dark Comedy, Psychological Drama, Comedy, Drama",English,5,63
X-Men '97,"Adult Animation, Superhero, Action, Adventure, Animation, Fantasy, Sci-Fi",English,1,12
Peaky Blinders,"Gangster, Period Drama, Crime, Drama",English,6,36
Reply 1988,"Korean Drama, Comedy, Drama, Family, Romance",Korean,1,20
Ted Lasso,"Soccer, Workplace Drama, Comedy, Drama, Sport",English,3,35
Over the Garden Wall,"Dark Fantasy, Folk Horror, Supernatural Fantasy, Supernatural Horror, Adventure, Animation, Comedy, Drama, Family, Fantasy",English,1,10
Black Mirror,"Cyber Thriller, Dystopian Sci-Fi, Psychological Drama, Psychological Thriller, Suspense Mystery, Tragedy, Crime, Drama, Mystery, Sci-Fi",English,7,33
South Park,"Adult Animation, Dark Comedy, Farce, Parody, Raunchy Comedy, Satire, Sitcom, Animation, Comedy",English,26,327
Kota Factory,"Comedy, Drama",Hindi,3,15
"I, Claudius","Epic, Period Drama, Political Drama, Sword & Sandal, Biography, Drama, History",English,1,13
Gullak,"Comedy, Drama, Family",Hindi,4,20
Vinland Saga,"Adult Animation, Anime, Historical Epic, One-Person Army Action, Period Drama, Seinen, Tragedy, Action, Adventure, Animation",Japanese,1,48
Bleach: Thousand-Year Blood War,"Anime, Shōnen, Supernatural Fantasy, Urban Adventure, Action, Adventure, Animation, Fantasy",Japanese,3,41
Narcos,"Docudrama, Drug Crime, Epic, Police Procedural, True Crime, Biography, Crime, Drama, Thriller",English,3,30
Chappelle's Show,"Satire, Sketch Comedy, Comedy, Music",English,3,33
Freaks and Geeks,"Coming-of-Age, Teen Comedy, Teen Drama, Comedy, Drama",English,1,18
Pride and Prejudice,"Costume Drama, Period Drama, Romantic Epic, Drama, Romance",English,1,6
Blackadder Goes Forth,"Satire, Sitcom, Comedy, War",English,1,6
Panchayat,"Comedy, Drama",Hindi,4,32
