rank,title,link,ratings_link,10_ratings,9_ratings,8_ratings,7_ratings,6_ratings,5_ratings,4_ratings,3_ratings,2_ratings,1_ratings,overall_ratings,10_sample,9_sample,8_sample,7_sample,6_sample,5_sample,4_sample,3_sample,2_sample,1_sample,overall_sample,nature,timerange,parentalGuide,runtime,storyline,genres,languages,countries,releaseDate,releaseCountry
100,Battlestar Galactica,https://www.imdb.com/title/tt0407362/?ref_=chttvtp_t_100,https://www.imdb.com/title/tt0407362/ratings/?ref_=tt_ov_rat,40.4%,27.2%,16.0%,7.3%,3.1%,1.5%,0.8%,0.6%,0.7%,2.3%,8.7,"73,000","49,000","29,000","13,000","5,500","2,800","1,500","1,100","1,400","4,100","10,181,000",TV Series,2004–2009,12,45m,"When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth.","Artificial Intelligence, Sci-Fi Epic, Space Sci-Fi, Action, Adventure, Drama, Sci-Fi, Back to top",English,United States,"October 18, 2004",United Kingdom
99,The Shield,https://www.imdb.com/title/tt0286486/?ref_=chttvtp_t_99,https://www.imdb.com/title/tt0286486/ratings/?ref_=tt_ov_rat,36.6%,29.2%,18.5%,7.4%,2.7%,1.3%,0.6%,0.4%,0.8%,2.5%,8.7,"34,000","27,000","17,000","6,800","2,500","1,200",586,398,715,"2,300","1,092,000",TV Series,2002–2008,15,45m,"Follows a gang of corrupt Los Angeles Police Department (LAPD) cops called The Strike Team, who uses illegal methods to maintain law and order, whilst engaging in a series of undercover dealings secretly in order to get rich.","Cop Drama, Police Procedural, Crime, Drama, Thriller, Back to top",English,United States,"September 29, 2002",United Kingdom
98,Downton Abbey,https://www.imdb.com/title/tt1606375/?ref_=chttvtp_t_98,https://www.imdb.com/title/tt1606375/ratings/?ref_=tt_ov_rat,37.3%,28.8%,18.9%,7.8%,2.7%,1.2%,0.6%,0.4%,0.4%,1.9%,8.7,"87,000","67,000","44,000","18,000","6,200","2,800","1,400",974,917,"4,500","10,233,000",TV Series,2010–2015,12,1h,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,"Costume Drama, Period Drama, Drama, Romance, Back to top",English,United Kingdom,"September 26, 2010",United Kingdom
97,The Last of Us,https://www.imdb.com/title/tt3581920/?ref_=chttvtp_t_97,https://www.imdb.com/title/tt3581920/ratings/?ref_=tt_ov_rat,38.8%,27.9%,18.2%,6.9%,2.4%,1.1%,0.6%,0.5%,0.5%,3.1%,8.7,"236,000","170,000","110,000","42,000","15,000","6,900","3,600","3,000","3,000","19,000","10,608,000",TV Series,2023–,15,50m,"After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope.","Dystopian Sci-Fi, Quest, Survival, Zombie Horror, Action, Adventure, Drama, Horror, Sci-Fi, Thriller, Back to top","English, Indonesian","Canada, United States","January 16, 2023",United Kingdom
96,Fleabag,https://www.imdb.com/title/tt5687612/?ref_=chttvtp_t_96,https://www.imdb.com/title/tt5687612/ratings/?ref_=tt_ov_rat,33.9%,31.6%,20.8%,7.6%,2.4%,1.0%,0.6%,0.4%,0.4%,1.2%,8.7,"75,000","70,000","46,000","17,000","5,300","2,300","1,300",964,937,"2,700","10,222,000",TV Series,2016–2019,15,30m,Series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,"Dark Comedy, Raunchy Comedy, Comedy, Drama, Back to top",English,United Kingdom,"July 21, 2016",United Kingdom
95,Severance,https://www.imdb.com/title/tt11280740/?ref_=chttvtp_t_95,https://www.imdb.com/title/tt11280740/ratings/?ref_=tt_ov_rat,31.8%,35.4%,20.8%,6.7%,2.2%,1.1%,0.5%,0.4%,0.3%,0.8%,8.7,"84,000","94,000","55,000","18,000","5,700","2,800","1,400","1,100",853,"2,200","10,265,000",TV Series,2022–,15,50m,"Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.","Conspiracy Thriller, Dystopian Sci-Fi, Psychological Drama, Psychological Thriller, Workplace Drama, Drama, Mystery, Sci-Fi, Thriller, Back to top",English,United States,"February 18, 2022",United Kingdom
94,Dark,https://www.imdb.com/title/tt5753856/?ref_=chttvtp_t_94,https://www.imdb.com/title/tt5753856/ratings/?ref_=tt_ov_rat,40.1%,28.0%,17.5%,7.7%,2.9%,1.3%,0.6%,0.4%,0.3%,1.1%,8.7,"193,000","135,000","84,000","37,000","14,000","6,500","3,000","2,100","1,500","5,400","10,481,000",TV Series,2017–2020,15,1h,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families.","Epic, Psychological Drama, Psychological Thriller, Suspense Mystery, Time Travel, Crime, Drama, Mystery, Sci-Fi, Thriller, Back to top",German,"Germany, United States","December 1, 2017",United Kingdom
93,Berserk,https://www.imdb.com/title/tt0318871/?ref_=chttvtp_t_93,https://www.imdb.com/title/tt0318871/ratings/?ref_=tt_ov_rat,38.3%,28.0%,17.5%,6.7%,2.3%,1.1%,0.5%,0.3%,0.4%,4.8%,8.7,"24,000","18,000","11,000","4,200","1,500",680,311,216,250,"3,000","1,063,000",TV Series,1997–1998,18,23m,"Guts, a wandering mercenary, joins the Band of the Hawk after being defeated in a duel by Griffith, the group's leader and founder. Together, they dominate every battle, but something menacing lurks in the shadows.","Action Epic, Adult Animation, Adventure Epic, Anime, Dark Fantasy, Epic, Fantasy Epic, Hand-Drawn Animation, Seinen, Splatter Horror, Back to top","Japanese, English","Japan, Poland","October 7, 1997",Japan
92,My Mister,https://www.imdb.com/title/tt7923710/?ref_=chttvtp_t_92,https://www.imdb.com/title/tt7923710/ratings/?ref_=tt_ov_rat,52.8%,27.1%,10.6%,4.0%,1.3%,0.7%,0.4%,0.4%,0.6%,2.3%,9,"6,300","3,200","1,300",476,152,81,46,43,67,267,"1,012,000",TV Series,2018,15,1h 10m,"A man in his 40s withstands the weight of life. A woman in her 20s goes through different experiences, but also withstands the weight of her life. The man and woman get together to help each other.","Korean Drama, Drama, Family, Back to top",Korean,South Korea,"June 10, 2020",United Kingdom
91,Oz,https://www.imdb.com/title/tt0118421/?ref_=chttvtp_t_91,https://www.imdb.com/title/tt0118421/ratings/?ref_=tt_ov_rat,36.7%,28.7%,18.0%,7.1%,2.5%,1.3%,0.6%,0.4%,0.4%,4.3%,8.7,"41,000","32,000","20,000","7,900","2,800","1,400",678,463,474,"4,800","10,111,000",TV Series,1997–2003,15,1h,A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.,"Prison Drama, Crime, Drama, Thriller, Back to top",English,United States,"December 3, 1998",United Kingdom
